timestamp,CPU Usage,Memory Usage,Disk I/O Operation
2024-06-01 00:00:00,10,200,300
2024-06-01 00:01:00,15,180,290
2024-06-01 00:02:00,11,210,310
2024-06-01 00:03:00,9,195,295
2024-06-01 00:04:00,12,205,305
2024-06-01 00:05:00,100,220,315
2024-06-01 00:06:00,14,190,290
2024-06-01 00:07:00,13,200,300
2024-06-01 00:08:00,16,185,295
2024-06-01 00:09:00,95,210,310
2024-06-01 00:10:00,12,195,305
2024-06-01 00:00:00,10,200,300
2024-06-01 00:01:00,15,180,290
2024-06-01 00:02:00,11,210,310
2024-06-01 00:03:00,9,195,295
2024-06-01 00:04:00,12,205,305
2024-06-01 00:05:00,100,220,315
2024-06-01 00:06:00,14,190,290
2024-06-01 00:07:00,13,200,300
2024-06-01 00:08:00,16,185,295
2024-06-01 00:09:00,100,210,310
2024-06-01 00:10:00,12,195,305
2024-06-01 00:00:00,10,200,300
2024-06-01 00:01:00,15,180,290
2024-06-01 00:02:00,11,210,310
2024-06-01 00:03:00,9,195,295
2024-06-01 00:04:00,12,205,305
2024-06-01 00:05:00,100,220,315
2024-06-01 00:06:00,14,190,290
2024-06-01 00:07:00,13,200,300
2024-06-01 00:08:00,16,185,295
2024-06-01 00:09:00,100,210,310
2024-06-01 00:10:00,12,195,305
